rotation x;rotation z;real x;real z
0;354.6103;0;-1.539917
2.134434E-07;354.2165;5.976415E-08;-1.65244
0;353.8109;0;-1.768319
0;353.5402;0;-1.845668
-2.134434E-07;353.2847;-5.976415E-08;-1.918649
-4.268868E-07;353.0433;-1.195283E-07;-1.987636
-2.134434E-07;352.7694;-5.976415E-08;-2.065875
-2.134434E-07;352.5802;-5.976415E-08;-2.119934
4.268868E-07;352.3789;1.195283E-07;-2.177464
4.268868E-07;352.2003;1.195283E-07;-2.228481
0;352.0439;0;-2.273159
-4.268868E-07;351.8634;-1.195283E-07;-2.324733
4.268868E-07;351.7182;1.195283E-07;-2.36622
4.268868E-07;351.5911;1.195283E-07;-2.402553
0;351.4618;0;-2.439488
-4.268868E-07;351.3265;-1.195283E-07;-2.478141
0;351.2459;0;-2.501168
0;351.1772;0;-2.520804
0;351.1293;0;-2.534494
0;351.0993;0;-2.543047
0;351.1038;0;-2.541774
4.268868E-07;351.1391;1.195283E-07;-2.531686
0;351.2299;0;-2.505746
0;351.3487;0;-2.471793
0;351.5531;0;-2.4134
0;351.8564;0;-2.326739
0;352.0621;0;-2.267962
359.6893;352.1368;-0.0869873;-2.246634
359.4171;352.2242;-0.1632251;-2.221654
359.1671;352.3182;-0.2331995;-2.194789
358.9586;352.3983;-0.291604;-2.171901
358.6946;352.5;-0.3655005;-2.142866
358.4831;352.5834;-0.4247424;-2.119019
358.2387;352.6678;-0.4931702;-2.094901
357.962;352.7698;-0.5706384;-2.065761
357.7237;352.8514;-0.6373743;-2.042446
357.4321;352.9427;-0.7190124;-2.016366
357.1859;353.0154;-0.7879443;-1.995606
357.0116;353.0636;-0.8367444;-1.981829
356.8228;353.1155;-0.8896118;-1.966998
356.6338;353.1637;-0.9425391;-1.953221
356.429;353.2143;-0.9998926;-1.938764
356.2437;353.2602;-1.051752;-1.925651
356.0358;353.305;-1.109968;-1.912851
355.2397;353.4659;-1.332871;-1.866874
354.512;353.5875;-1.536633;-1.832153
353.9595;353.6648;-1.691331;-1.81005
353.4648;353.7276;-1.829852;-1.792123
353.062;353.7693;-1.942637;-1.780186
352.5656;353.818;-2.08162;-1.766279
352.1251;353.8578;-2.204974;-1.7549
351.7419;353.8885;-2.312282;-1.746129
351.427;353.9111;-2.40044;-1.739676
351.1664;353.929;-2.473413;-1.734584
350.912;353.9467;-2.544635;-1.729501
350.7231;353.961;-2.597537;-1.725429
350.5196;353.9764;-2.654523;-1.721026
350.3251;353.9919;-2.708971;-1.716588
350.0535;354.0113;-2.785012;-1.711051
349.8795;353.9757;-2.833752;-1.721226
349.6207;353.9173;-2.906213;-1.737924
349.4389;353.8806;-2.957107;-1.748387
349.287;353.8577;-2.999635;-1.754935
349.1546;353.8364;-3.036711;-1.761021
348.9149;353.8015;-3.10384;-1.770988
348.788;353.7873;-3.139362;-1.775068
348.6616;353.7759;-3.174763;-1.778303
348.513;353.758;-3.21636;-1.78343
348.3846;353.7519;-3.252326;-1.785165
348.2964;353.7438;-3.276995;-1.787484
348.1712;353.7329;-3.312072;-1.790597
348.062;353.7294;-3.342654;-1.791591
347.9459;353.7242;-3.375142;-1.793073
347.8281;353.7216;-3.408125;-1.793815
347.6954;353.7155;-3.445278;-1.795585
347.5597;353.7114;-3.483286;-1.796753
347.4666;353.7112;-3.509365;-1.796814
347.2747;353.7109;-3.563087;-1.796884
347.157;353.7123;-3.596036;-1.796474
347.0396;353.7161;-3.628909;-1.795393
346.953;353.7148;-3.653151;-1.795768
346.837;353.7195;-3.685647;-1.794434
346.7289;353.7242;-3.715904;-1.7931
346.6344;353.726;-3.742368;-1.792585
346.5537;353.7294;-3.764961;-1.7916
346.4567;353.735;-3.792134;-1.790013
346.3316;353.7421;-3.827159;-1.787964
346.2011;353.7502;-3.863698;-1.785671
346.0694;353.7617;-3.900569;-1.782375
345.9627;353.7674;-3.93045;-1.780744
345.812;353.7815;-3.972637;-1.776707
345.6896;353.7924;-4.00691;-1.773594
345.5558;353.8098;-4.044388;-1.768625
345.4267;353.8197;-4.080516;-1.765808
345.3137;353.8334;-4.112167;-1.761884
345.1801;353.8478;-4.149559;-1.757778
345.0564;353.8648;-4.184209;-1.752921
344.9454;353.8804;-4.215278;-1.748466
344.8049;353.8958;-4.254619;-1.744045
344.6806;353.913;-4.289431;-1.739136
344.5515;353.9375;-4.325593;-1.732152
344.4254;353.9549;-4.360884;-1.727164
344.3225;353.968;-4.389706;-1.723441
344.1826;353.9946;-4.428859;-1.715829
344.0462;354.0147;-4.467063;-1.710092
343.9262;354.0363;-4.500653;-1.703919
343.7935;354.0596;-4.537815;-1.697248
343.6607;354.0826;-4.575003;-1.6907
343.5205;354.1146;-4.614249;-1.681536
343.3742;354.1388;-4.655222;-1.674622
343.2745;354.1646;-4.683138;-1.667254
343.1151;354.1992;-4.727786;-1.657357
342.9736;354.2266;-4.7674;-1.649536
342.8349;354.2536;-4.806228;-1.64182
342.7085;354.2947;-4.841612;-1.630075
342.5608;354.3247;-4.882987;-1.621504
342.4401;354.3542;-4.916774;-1.613072
342.3027;354.385;-4.955235;-1.604292
342.1347;354.4266;-5.002283;-1.592407
